Catalog,RA,DEC,Type,Name,Magn.,,,,,
PGC,12h43m38.09s,+27°10'49.1",Gx,UGC07877,m:16.20,PGC:42726,Dim: 1.0 x 0.2 ',pa: 64,rv: 5908,
PGC,12h43m39.59s,+26°32'53.0",Gx,PGC042722,m:15.36,PGC:42722,Dim: 0.9 x 0.3 ',pa: 17,rv: 6639,
PGC,12h46m07.88s,+27°02'02.7",Gx,NGC4670,m:13.16,PGC:42987,Dim: 1.0 x 0.8 ',pa: 94,rv: 1085,
PGC,12h46m25.45s,+26°58'10.2",Gx,NGC4673,m:14.89,PGC:43008,Dim: 1.1 x 0.8 ',pa:171,rv: 6814,
PGC,12h47m34.96s,+29°38'39.5",Gx,IC0818,m:15.18,PGC:43113,Dim: 0.9 x 0.3 ',pa: 46,rv: 4666,
PGC,12h48m02.43s,+26°37'19.8",Gx,UGC07955,m:15.60,PGC:43142,Dim: 1.3 x 0.2 ',pa: 29,rv: 6759,
PGC,12h48m16.55s,+29°41'49.0",Gx,IC0821,m:14.52,PGC:43161,Dim: 1.0 x 0.9 ',pa: 90,rv: 6743,
PGC,12h48m32.66s,+26°53'25.9",Gx,UGC07959,m:14.74,PGC:43174,Dim: 1.1 x 0.3 ',pa: 62,rv: 7143,
PGC,12h48m45.93s,+27°07'53.2",Gx,NGC4692,m:13.71,PGC:43200,Dim: 1.0 x 0.9 ',pa: 90,rv: 7987,
PGC,12h49m14.74s,+26°46'00.6",Gx,MCG+05-30-088,m:15.13,PGC:43256,Dim: 1.0 x 0.4 ',pa:120,rv: 7410,
PGC,12h49m32.80s,+26°19'35.1",Gx,MCG+05-30-089,m:15.56,PGC:43278,Dim: 1.0 x 0.3 ',pa: 6,rv: 6866,
PGC,12h49m49.93s,+27°17'03.9",Gx,MCG+05-30-090,m:16.42,PGC:43308,Dim: 1.0 x 0.5 ',pa: 55,rv: 6262,
PGC,12h50m48.37s,+27°43'53.8",Gx,NGC4715,m:14.84,PGC:43399,Dim: 1.3 x 1.0 ',pa: 18,rv: 6917,
PGC,12h51m17.65s,+28°15'43.7",Gx,UGC07990,m:16.20,PGC:43450,Dim: 0.9 x 0.6 ',pa: 90,rv: 512,
PGC,12h51m59.22s,+28°41'50.9",Gx,NGC4738,m:14.28,PGC:43517,Dim: 1.8 x 0.3 ',pa: 33,rv: 4752,
PGC,12h53m26.74s,+26°39'33.7",Gx,UGC08013,m:15.80,PGC:43686,Dim: 1.1 x 0.3 ',pa: 97,rv: 7884,
PGC,12h53m43.87s,+28°16'50.3",Gx,UGC08017,m:14.64,PGC:43726,Dim: 1.0 x 0.4 ',pa: 33,rv: 7087,
PGC,12h54m52.55s,+29°30'48.8",Gx,UGC08025,m:14.74,PGC:43863,Dim: 1.9 x 0.3 ',pa: 73,rv: 6317,
PGC,12h54m55.79s,+27°03'33.6",Gx,NGC4789A,m:14.10,PGC:43869,Dim: 1.9 x 1.8 ',pa: 90,rv: 375,
PGC,12h54m55.88s,+26°58'41.3",Gx,NGC4787,m:15.40,PGC:43875,Dim: 1.0 x 0.3 ',pa: 1,rv: 7567,
PGC,12h54m56.01s,+29°31'03.0",Gx,4346369,m:17.13,PGC:4346369,Dim: 1.0 x 0.2 ',pa: 75,rv: 0,
PGC,12h55m06.38s,+27°12'47.9",Gx,NGC4788,m:15.27,PGC:43874,Dim: 0.9 x 0.3 ',pa:141,rv: 6414,
PGC,12h55m09.45s,+26°58'38.3",Gx,NGC4789,m:13.08,PGC:43895,Dim: 1.7 x 1.1 ',pa:174,rv: 8356,
PGC,12h55m23.21s,+28°17'11.1",Gx,MCG+05-31-001,m:15.28,PGC:43930,Dim: 0.9 x 0.6 ',pa: 65,rv: 7020,
PGC,12h55m30.69s,+28°50'51.4",Gx,NGC4793,m:12.30,PGC:43939,Dim: 1.8 x 0.9 ',pa: 52,rv: 2478,
PGC,12h55m45.53s,+27°19'20.0",Gx,NGC4798,m:14.19,PGC:43981,Dim: 1.1 x 0.9 ',pa: 36,rv: 7862,
PGC,12h56m15.29s,+27°42'28.1",Gx,MCG+05-31-007,m:15.17,PGC:44043,Dim: 1.0 x 0.7 ',pa:166,rv: 7382,
PGC,12h56m31.63s,+27°09'37.9",Gx,IC3900,m:14.90,PGC:44068,Dim: 1.0 x 0.6 ',pa:179,rv: 7104,
PGC,12h57m02.35s,+27°39'19.1",Gx,NGC4816,m:13.64,PGC:44114,Dim: 1.4 x 0.6 ',pa: 90,rv: 6935,
PGC,12h57m09.03s,+26°16'07.2",Gx,IC0834,m:15.09,PGC:44138,Dim: 0.9 x 0.5 ',pa: 97,rv: 6463,
PGC,12h57m18.16s,+26°53'50.0",Gx,NGC4819,m:14.13,PGC:44144,Dim: 1.0 x 0.8 ',pa:151,rv: 6468,
PGC,12h57m33.81s,+27°05'18.7",Gx,NGC4827,m:13.89,PGC:44178,Dim: 1.2 x 1.0 ',pa: 30,rv: 7612,
PGC,12h57m40.66s,+28°50'22.8",Gx,MCG+05-31-020,m:15.61,PGC:44193,Dim: 0.9 x 0.4 ',pa: 12,rv: 8100,
PGC,12h57m41.17s,+29°17'17.4",Gx,PGC044195,m:16.52,PGC:44195,Dim: 0.9 x 0.2 ',pa: 68,rv: 7160,
PGC,12h58m01.42s,+28°57'17.6",Gx,UGC08069,m:15.26,PGC:44263,Dim: 1.2 x 0.5 ',pa: 27,rv: 7519,
PGC,12h58m14.56s,+27°24'27.3",Gx,NGC4839,m:13.07,PGC:44298,Dim: 2.7 x 1.2 ',pa: 64,rv: 7320,
PGC,12h58m20.12s,+28°05'52.2",Gx,UGC08071,m:15.22,PGC:44319,Dim: 1.0 x 0.3 ',pa:160,rv: 6938,
PGC,12h58m21.53s,+26°25'19.1",Gx,IC0837,m:15.56,PGC:44322,Dim: 0.9 x 0.3 ',pa: 13,rv: 7223,
PGC,12h58m22.02s,+28°23'13.2",Gx,NGC4841A,m:13.76,PGC:44323,Dim: 1.5 x 1.4 ',pa: 90,rv: 6766,
PGC,12h58m23.97s,+28°23'32.7",Gx,NGC4841B,m:13.71,PGC:44329,Dim: 1.0 x 0.8 ',pa:169,rv: 6264,
PGC,12h58m36.27s,+27°40'01.7",Gx,PGC083695,m:16.02,PGC:83695,Dim: 0.9 x 0.2 ',pa:113,rv: 6144,
PGC,12h58m52.67s,+26°46'10.4",Gx,UGC08080,m:15.25,PGC:44394,Dim: 1.2 x 0.5 ',pa: 57,rv: 7403,
PGC,12h58m55.68s,+28°09'09.5",Gx,NGC4848,m:14.35,PGC:44405,Dim: 1.3 x 0.4 ',pa:156,rv: 7174,
PGC,12h58m59.40s,+28°37'07.8",Gx,MCG+05-31-041,m:15.48,PGC:44416,Dim: 1.1 x 0.3 ',pa: 85,rv: 7610,
PGC,12h59m02.99s,+26°18'24.4",Gx,NGC4849,m:14.27,PGC:44424,Dim: 1.4 x 1.0 ',pa:177,rv: 5910,
PGC,12h59m26.39s,+28°01'26.5",Gx,IC3943,m:15.41,PGC:44485,Dim: 0.9 x 0.3 ',pa: 59,rv: 6838,
PGC,12h59m26.54s,+27°00'51.1",Gx,MCG+05-31-047,m:15.33,PGC:44487,Dim: 0.9 x 0.6 ',pa:138,rv: 7994,
PGC,12h59m37.56s,+27°35'05.5",Gx,NGC4854,m:14.94,PGC:44502,Dim: 1.0 x 0.7 ',pa: 44,rv: 8374,
